File updated: 01/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Inpatient/Outpatient,CHARGE_CODE,CHARGE_DESC,MEDICATION_NAME,ERX_ID,NDC_CODE,CPT_CODE,GROSS_CHARGES,MIN,MAX,Aetna_HMO,Aetna_PPO,Blue_Cross_HMO_PPO,Blue_Cross_SR_HMO,Blue_Shield_HMO_PPO,Blue_Shield_Sr_HMO,Cigna_PPO,Healthnet_HMO,Healthnet_PPO,Kaiser,Kaiser_SR_MMC,Multiplan,UHC_HMO,UHC_PPO,UHC_SR_HMO/PPO,Uninsured rate for patients that do not qualify for financial assistance*
CSMC IP,02721866,"HB ELECTRODE, ESU 5",,,,,3948,223,1511,922,1239,923,223,886,429,1359,1373,1376,1314,1090,1511,1309,1139,309,No standard uninsured rate
CSMC IP,02721867,"HB CAPSULE, ENDOSCOPE DEL SYS",,,,,1675,95,641,391,526,450,95,416,182,577,583,584,536,548,641,556,483,132,No standard uninsured rate
CSMC IP,02721868,"HB KIT, ENDO MUCUS RESECTION",,,,,2124,120,813,496,667,497,120,477,231,731,739,740,707,587,813,705,613,167,No standard uninsured rate
CSMC IP,02721872,"HB BLADE, TRUNCATED 1",,,,,5080,287,1944,1186,1594,836,287,1140,552,1748,1767,1770,1691,1403,1944,1684,1465,398,No standard uninsured rate
CSMC IP,02721873,HB ENDO CATCH 1,,,,,610,5,488,148,149,92,5,112,88,309,213,214,204,149,488,195,150,48,No standard uninsured rate
CSMC IP,02721875,"HB COBLATOR, ENT 1",,,,,2212,125,847,517,694,518,125,497,241,761,770,771,737,611,847,734,638,174,No standard uninsured rate
CSMC IP,02721878,"HB PT/PRGMR, NEUROSTIMULATOR 1 *",,,,C1787,4719,267,1806,1102,1481,1104,267,1059,513,1624,1641,1644,1571,1303,1806,1565,1361,370,No standard uninsured rate
CSMC IP,02721879,"HB SHEARS, HARMONIC 1 *",,,,,2085,151,1026,842,731,446,151,339,227,1026,730,727,694,576,798,468,599,164,No standard uninsured rate
CSMC IP,02721882,"HB LASER FIBER, 8 *",,,,,8288,468,3171,1934,2601,1938,468,1860,901,2852,2883,2888,2759,2288,3171,2748,2390,649,No standard uninsured rate
CSMC IP,02721883,HB DRIVER AMPLATZER TORQUE 1,,,,,4751,268,1818,1109,1491,1111,268,1067,517,1635,1653,1655,1582,1312,1818,1575,1370,372,No standard uninsured rate
CSMC IP,02721885,"HB KIT, STANDARD PEG",,,,,840,48,322,196,264,197,48,189,92,289,293,293,280,232,322,279,243,66,No standard uninsured rate
CSMC IP,02721887,"HB CATHETER,CRYOABLATION ARCTIC",,,,C1733,22283,1257,8524,5200,6991,2239,1257,5001,2421,7666,7749,7762,7417,6151,8524,7386,6426,1744,No standard uninsured rate
CSMC IP,02721888,HB INTRO/SHEATH EP FLEXCATH,,,,C1766,7983,451,3054,1863,2505,802,451,1792,868,2747,2776,2781,2657,2204,3054,2647,2302,625,No standard uninsured rate
CSMC IP,02721891,"HB KIT,TUBE GASTROSTOMY FEEDING",,,,,1314,75,510,307,510,308,75,295,143,453,457,458,438,363,503,436,379,103,No standard uninsured rate
CSMC IP,02721892,HB OTSC SYSTEM SET 100.12,,,,,4079,231,1561,952,1280,997,231,916,444,1404,1419,1421,1358,1126,1561,1353,1177,320,No standard uninsured rate
CSMC IP,02721893,"HB KIT, TUBE JEJUNAL FEEDING",,,,,1600,109,830,374,752,594,109,484,174,551,557,558,533,524,613,531,830,126,No standard uninsured rate
CSMC IP,02721894,"HB NEEDLE,ECHOTIP CELIAC PLEXUS",,,,,2286,129,875,534,718,535,129,513,249,787,795,797,761,632,875,758,660,179,No standard uninsured rate
CSMC IP,02721896,"HB CATHETER, URETERAL 2",,,,C1758,1673,95,640,391,525,392,95,376,182,576,582,583,557,462,640,555,483,131,No standard uninsured rate
CSMC IP,02721897,"HB CATHETER,ENSMBL DS BLN18-22",,,,C1887,35840,2022,13710,8363,11244,8378,2022,8043,3894,12329,12463,12485,11928,9894,13710,11880,10335,2805,No standard uninsured rate
CSMC IP,02721900,"HB TUBE, NASAOGASTRIC",,,,,2175,123,832,508,683,509,123,489,237,749,757,758,724,601,832,721,628,171,No standard uninsured rate
CSMC IP,02721901,"HB KIT, COAXIAL TEMNO BX SYSTEM",,,,,863,49,331,202,271,202,49,194,94,297,301,301,288,239,331,287,249,68,No standard uninsured rate
CSMC IP,02721903,"HB FORCEP,COLON MAXUM RATTOOTH",,,,,3065,173,1173,716,962,717,173,688,334,1055,1066,1068,1021,847,1173,1016,884,240,No standard uninsured rate
CSMC IP,02721905,HB OTSC SYSTEM SET 100.27,,,,,4284,242,1639,1000,1345,829,242,962,466,1474,1490,1493,1426,1183,1639,1420,1236,336,No standard uninsured rate
CSMC IP,02721906,HB OTSC SYSTEM SET 100.14,,,,,4613,261,1765,1077,1448,1079,261,1036,502,1587,1605,1607,1536,1274,1765,1530,1331,361,No standard uninsured rate
CSMC IP,02721909,"HB DISSECTOR, BALLOON ENDO 3",,,,,3537,200,1354,826,1110,827,200,794,385,1217,1230,1233,1178,977,1354,1173,1020,277,No standard uninsured rate
CSMC IP,02721915,HB CONNECTOR SMARTSTITCH,,,,,1421,81,544,332,446,333,81,319,155,489,495,495,473,393,544,471,410,112,No standard uninsured rate
CSMC IP,02721917,"HB PROBE, RADIO FREQUENCY 1",,,,,3821,216,1462,892,1199,894,216,858,416,1315,1329,1331,1272,1055,1462,1267,1102,300,No standard uninsured rate
CSMC IP,02721919,HB DRAIN 2,,,,,1913,108,732,447,601,448,108,430,208,659,666,667,637,529,732,635,552,150,No standard uninsured rate
CSMC IP,02721921,"HB GUIDE, DRILL 2",,,,,2140,121,819,500,672,501,121,481,233,737,745,746,713,591,819,710,697,168,No standard uninsured rate
CSMC IP,02721925,"HB BLADE, OSTEOTOME 1",,,,,1627,92,623,380,511,439,92,366,177,560,566,567,542,450,623,540,470,128,No standard uninsured rate
CSMC IP,02721928,"HB EXTRACTOR, CONICAL 2",,,,,3155,178,1207,737,990,738,178,708,343,1086,1098,1099,1051,871,1207,1046,910,247,No standard uninsured rate
CSMC IP,02721929,HB HEAD REAMER 1,,,,,2766,156,1059,646,868,647,156,621,301,952,962,964,921,764,1059,917,798,217,No standard uninsured rate
CSMC IP,02721930,"HB DRILL BIT, DISPOSABLE 1",,,,,749,54,387,184,181,148,54,175,82,387,263,263,273,175,74,155,256,59,No standard uninsured rate
CSMC IP,02721931,"HB DRILL BIT, DISPOSABLE 2",,,,,1289,14,582,306,414,220,14,272,141,582,452,450,484,305,127,259,450,101,No standard uninsured rate
CSMC IP,02721932,"HB DRILL BIT, DISPOSABLE 3",,,,,1677,18,711,417,547,315,18,372,183,711,587,585,598,395,642,289,535,132,No standard uninsured rate
CSMC IP,02721933,"HB DRILL BIT, DISPOSABLE 4",,,,,2147,122,832,501,674,445,122,575,234,739,747,748,832,593,822,712,699,169,No standard uninsured rate
CSMC IP,02721934,"HB DRILL BIT, DISPOSABLE 5",,,,,2544,144,1197,594,1197,433,144,682,277,876,881,887,919,581,974,844,734,200,No standard uninsured rate
CSMC IP,02721935,"HB DRILL BIT, DISPOSABLE 6",,,,,3084,174,1180,720,968,721,174,728,336,1061,1073,1075,1027,722,1180,1023,890,242,No standard uninsured rate
CSMC IP,02721936,"HB DRILL BIT, DISPOSABLE 7",,,,,3751,212,1435,876,1177,629,212,760,408,1291,1305,1307,1249,1036,1435,1244,1082,294,No standard uninsured rate
CSMC IP,02721937,"HB DRILL BIT, DISPOSABLE 8",,,,,4352,246,1665,1016,1366,1018,246,977,473,1498,1514,1516,1449,1202,1665,1443,1255,341,No standard uninsured rate
CSMC IP,02721938,"HB DRILL BIT, DISPOSABLE 9",,,,,5105,288,1953,1192,1602,1219,288,1146,555,1757,1776,1779,1699,1410,1953,1693,1472,400,No standard uninsured rate
CSMC IP,02721940,"HB TUBING, PCA",,,,,125,8,48,30,40,30,8,29,14,43,44,44,42,35,48,42,37,10,No standard uninsured rate
CSMC IP,02721942,HB PREVALON BOOT,,,,,855,49,328,200,269,200,49,192,93,295,298,298,285,237,328,284,247,67,No standard uninsured rate
CSMC IP,02721943,"HB CATH, CNTRL VENOUS, SINGLE",,,,,567,32,217,133,178,133,32,128,62,196,198,198,189,157,217,188,164,45,No standard uninsured rate
CSMC IP,02721944,"HB KNIFE, BAYONET 1",,,,,1958,111,749,457,615,395,111,466,213,674,681,686,652,541,749,649,565,154,No standard uninsured rate
CSMC IP,02721948,"HB KNIFE, TRIANGLE TIP",,,,,5113,289,1956,1193,1605,1196,289,1148,556,1759,1778,1782,1702,1412,1956,1695,1475,401,No standard uninsured rate
CSMC IP,02721953,"HB SCALPEL, SURGICAL 10 STER",,,,,65,4,27,16,27,13,4,10,8,23,23,23,22,17,25,22,19,6,No standard uninsured rate
CSMC IP,02721958,HB HEMOCLIP MEDIUM,,,,,149,9,57,35,47,35,9,34,17,52,52,52,50,42,57,50,43,12,No standard uninsured rate
CSMC IP,02721959,HB LIGACLIP SMALL,,,,,92,6,36,22,29,22,6,21,10,32,32,33,31,26,36,31,27,8,No standard uninsured rate
CSMC IP,02721961,HB MASTISOL LIQUID ADHESIVE,,,,,65,4,25,16,21,16,4,15,8,23,23,23,22,18,25,22,19,6,No standard uninsured rate
CSMC IP,02721964,"HB PACK, PERFUSION PUMP TABLE",,,,,1200,68,460,280,377,281,68,270,131,413,418,419,400,332,460,398,347,94,No standard uninsured rate
CSMC IP,02721966,"HB COLLAGEN, HEMOSTAT INSTAT",,,,,987,56,378,231,310,231,56,222,108,340,344,344,329,273,378,328,285,78,No standard uninsured rate
CSMC IP,02721969,"HB BLADE, PIVOTAL/FIXED",,,,,94,6,36,22,30,22,6,22,11,33,33,33,32,26,36,32,28,8,No standard uninsured rate
CSMC IP,02721972,"HB DRAIN ,BLAKE",,,,,423,24,162,99,133,99,24,95,46,146,148,148,141,117,162,141,122,34,No standard uninsured rate
CSMC IP,02721973,"HB DRAIN,  RESERVOIR",,,,,135,8,63,32,63,44,8,42,15,47,47,48,45,38,52,45,39,11,No standard uninsured rate
CSMC IP,02721974,"HB DRAIN, PLEUR ADULT/PEDS",,,,,530,30,203,124,167,124,30,119,58,183,185,185,177,147,203,176,153,42,No standard uninsured rate
CSMC IP,02721975,HB FLOSEAL HEMOSTAT 5ML,,,,,1685,96,645,394,529,400,96,254,184,580,586,587,561,376,645,559,486,132,No standard uninsured rate
CSMC IP,02721979,"HB CATHETER,BRACHYTHSEEDADMIN1",,,,C1728,1119,64,429,262,352,262,64,252,122,385,390,390,373,309,429,371,323,88,No standard uninsured rate
CSMC IP,02721980,"HB CATHETER, CUTTING BALLOON",,,,C1725,8286,468,3170,1934,2600,1937,468,1860,901,2851,2882,2887,2758,2288,3170,2747,2390,649,No standard uninsured rate
CSMC IP,02721981,HB PRP INJECTION KIT,,,,,1827,104,699,427,574,428,104,410,199,629,636,637,609,505,699,606,527,143,No standard uninsured rate
CSMC IP,02721982,"HB CATHETER, SOLITARE DEVICE",,,,C1757,29859,1684,11422,6967,9368,6980,1684,6701,3245,10272,10384,10401,9938,8243,11422,9897,8610,2337,No standard uninsured rate
CSMC IP,02721983,"HB KIT, SPINAL CORD STIM 2",,,,,11961,675,4576,2791,3753,2796,675,2685,1300,4115,4160,4167,3981,3302,4576,3965,3449,936,No standard uninsured rate
CSMC IP,02721984,HB BOLT EXTRACTION SCREW RMVL2,,,,,2765,156,1058,646,868,647,156,621,301,952,962,964,921,764,1058,917,798,217,No standard uninsured rate
CSMC IP,02721985,"HB NEEDLE, MAX FORCE INJECTOR",,,,,609,35,233,143,192,170,35,137,67,210,212,213,203,169,233,202,176,48,No standard uninsured rate
CSMC IP,02721987,"HB GRASPER, MONOPOLAR HEMOST",,,,,2128,121,815,497,668,562,121,478,232,733,740,742,709,588,815,706,614,167,No standard uninsured rate
CSMC IP,02721988,"HB GRASPER, MONOPOLAR 230 CM",,,,,2751,156,1053,642,864,644,156,618,299,947,957,959,916,760,1053,912,794,216,No standard uninsured rate
CSMC IP,02721989,"HB CLIP, QUICK",,,,,1300,74,498,304,408,304,74,292,142,448,453,453,433,359,498,431,375,102,No standard uninsured rate
CSMC IP,02721990,HB ATTACHMENT DISTANT DISPOSBL,,,,,877,50,336,205,276,221,50,192,96,302,305,306,292,243,336,291,206,69,No standard uninsured rate
CSMC IP,02721991,"HB BLADE, DERMATOME 1",,,,,367,21,141,86,116,86,21,83,40,127,128,128,123,102,141,122,106,29,No standard uninsured rate
CSMC IP,02721992,HB GUIDEWIRE 5,,,,C1769,2850,161,1149,665,895,1149,161,794,310,981,992,993,1012,787,1091,283,874,224,No standard uninsured rate
CSMC IP,02721993,"HB HEARTMATE, CENTRIMAG PUMP",,,,,44924,2534,17185,10482,14094,10501,2534,10081,4881,15454,15622,15649,14952,14607,17185,14891,12954,3516,No standard uninsured rate
CSMC IP,02721995,"HB KIT, SPARES TAH",,,,,12175,687,4658,2841,3820,2846,687,2733,1323,4189,4234,4241,4052,3361,4658,4036,3511,953,No standard uninsured rate
CSMC IP,02722000,HB ATHERECTOMY DEVICE,,,,,22733,1283,8697,5305,7132,5314,1283,5102,2470,7821,7906,7919,7566,6276,8697,7535,7789,1779,No standard uninsured rate
CSMC IP,02722001,"HB PROBE, MICROWAVE",,,,,10425,588,3988,2433,3271,2196,588,704,1133,3587,3626,3632,3470,2878,3988,3456,3006,816,No standard uninsured rate
CSMC IP,02722009,"HB BALLOON, ULTRASOUND LIN/RAD",,,,,438,35,222,103,177,112,54,67,48,222,153,153,144,134,168,146,145,35,No standard uninsured rate
CSMC IP,02722012,"HB MOUTHPIECE, QFIX",,,,,158,9,61,37,50,37,9,36,18,55,55,56,53,44,61,53,46,13,No standard uninsured rate
CSMC IP,02722013,"HB CLIP, QFIX NOSE",,,,,105,6,41,25,33,25,6,24,12,37,37,37,35,29,41,35,31,9,No standard uninsured rate
CSMC IP,02722014,"HB FILTER, QFIX BACTERIAL",,,,,250,15,96,59,79,59,15,57,28,86,87,88,84,70,96,83,73,20,No standard uninsured rate
CSMC IP,02722016,HB NANODOTS-SCREENED,,,,,289,17,111,68,91,68,17,65,32,100,101,101,97,80,111,96,84,23,No standard uninsured rate
CSMC IP,02722018,HB MICROCATH SUREFIRE INF SYS,,,,,16526,933,6322,3856,5185,3863,933,3709,1796,5685,5747,5757,5501,4562,6322,5478,4766,1294,No standard uninsured rate
CSMC IP,02722020,"HB TUBE, FEEDING 1",,,,,559,32,240,131,240,197,32,147,61,193,195,195,187,149,55,186,192,44,No standard uninsured rate
CSMC IP,02722022,"HB PIN, STEINMAN 1",,,,,309,18,131,73,81,52,18,73,34,131,107,108,103,86,119,103,46,25,No standard uninsured rate
CSMC IP,02722023,"HB PIN, STEINMAN 2",,,,,1160,66,444,260,364,288,66,257,127,400,404,405,387,321,444,385,335,91,No standard uninsured rate
CSMC IP,02722026,HB FIBER LASER R-1,,,,,813,46,311,190,256,191,46,183,89,280,283,284,271,225,311,270,235,64,No standard uninsured rate
CSMC IP,02722027,HB FIBER LASER R-2,,,,,951,54,364,222,299,223,54,214,104,328,331,332,317,263,364,316,275,75,No standard uninsured rate
CSMC IP,02722028,HB FIBER LASER R-3,,,,,1509,86,578,353,474,353,86,339,164,520,525,526,503,417,578,501,436,119,No standard uninsured rate
CSMC IP,02722030,"HB CATHETER, INTRAVAS ULTRSND 1",,,,C1753,5377,304,2057,1255,1687,1257,304,1207,585,1850,1870,1874,1790,1485,2057,1783,1551,421,No standard uninsured rate
CSMC IP,02722031,"HB OCCLUDERS, COLPO-PNEUMO",,,,,962,55,368,225,228,72,55,159,105,331,335,336,321,266,368,319,218,76,No standard uninsured rate
CSMC IP,02722032,HB TROCAR SITE CLOSURE SYS,,,,,522,41,212,115,172,89,41,100,57,180,182,182,174,145,200,212,150,42,No standard uninsured rate
CSMC IP,02722034,HB PERF ANTICOAGULANT LINE,,,,,398,15,179,93,126,75,15,92,44,159,138,140,136,114,179,119,104,32,No standard uninsured rate
CSMC IP,02722035,HB INFINITY SAMPLING SYSTEM,,,,,444,26,170,104,140,106,26,63,49,153,155,155,148,123,170,148,129,35,No standard uninsured rate
CSMC IP,02722036,"HB FORCEPS,RESCUE RAT-T/ALIGTR",,,,,1224,70,562,286,527,562,70,353,133,422,426,427,413,338,469,406,353,96,No standard uninsured rate
CSMC IP,02722037,HB INFLATION SYSTEM BIG60,,,,,670,12,301,157,202,182,12,139,73,231,233,234,223,158,257,301,183,53,No standard uninsured rate
CSMC IP,02722038,HB CYSTOTOME,,,,,3230,183,1236,754,1014,755,183,725,351,1112,1124,1126,1075,892,1236,1071,932,253,No standard uninsured rate
CSMC IP,02722042,HB BASKET BILIARY STONE REMOVAL,,,,,2374,134,909,554,745,555,134,533,258,817,826,827,791,656,909,787,685,186,No standard uninsured rate
CSMC IP,02722043,HB ENDOCATH OCCLUSION BALLOON,,,,C2628,5212,294,1994,1217,1636,1219,294,1170,567,1793,1813,1816,1735,1439,1994,1728,1503,408,No standard uninsured rate
CSMC IP,02722045,"HB GUIDEWIRE, FINDRWIRZ SYSTEM",,,,,8030,453,3072,1874,2520,1877,453,1802,873,2763,2793,2798,2673,2217,3072,2662,2316,629,No standard uninsured rate
CSMC IP,02722047,"HB CANNULA, SOFT TIP GUIDE",,,,,2787,158,1067,651,875,652,158,626,303,959,970,971,928,770,1067,924,804,219,No standard uninsured rate
CSMC IP,02722053,"HB NEEDLE, BIOPSY SYSTEM",,,,,522,30,200,122,164,123,30,118,57,180,182,182,174,145,200,174,151,41,No standard uninsured rate
CSMC IP,02722056,HB MIC-KEY MEASURING STOMA,,,,,172,10,66,41,54,41,10,39,19,60,60,60,58,48,66,58,50,14,No standard uninsured rate
CSMC IP,02722062,HB TISSUE HELIX,,,,,1809,103,692,423,568,423,103,406,197,623,630,631,603,500,692,600,620,142,No standard uninsured rate
CSMC IP,02722063,"HB CATHETER, RADIO ENDO",,,,,8604,486,3292,2008,2700,2012,486,1931,935,2960,2992,2998,2864,2375,3292,2852,2481,674,No standard uninsured rate
CSMC IP,02722065,"HB BIOGLUE, SKNCLSR SYRINGE CL",,,,,5443,307,2083,1270,1708,1273,307,1222,592,1873,1893,1896,1812,1503,2083,1805,1570,426,No standard uninsured rate
CSMC IP,02722069,"HB PATCH, TACHOSIL",,,,,4967,281,1901,1159,1559,1161,281,1115,540,1709,1728,1731,1654,1372,1901,1647,1433,389,No standard uninsured rate
CSMC IP,02722072,HB AEROSIZER STENT SYSTEM,,,,C1874,1888,107,723,441,593,442,107,424,206,650,657,658,629,522,723,626,545,148,No standard uninsured rate
CSMC IP,02722074,"HB SEALER, BIPOLAR 1",,,,,4082,231,1562,953,1235,769,231,1013,444,1405,1420,1422,1357,1127,1562,839,1267,320,No standard uninsured rate
CSMC IP,02722075,"HB CLIP, OCCLUSION 1",,,,,8288,468,3171,1934,2601,1384,468,1860,901,2852,2883,2888,2759,2288,3171,2748,2390,649,No standard uninsured rate
CSMC IP,02722076,"HB CLIP, OCCLUSION 2",,,,,17815,1005,6815,4157,5590,4165,1005,3998,1936,6129,6195,6206,5930,4918,6815,5905,5137,1395,No standard uninsured rate
CSMC IP,02722077,"HB LIGASURE, ESU 3*",,,,,4036,228,3229,1124,1178,773,228,810,439,1389,1413,1406,1344,953,3229,1338,1555,316,No standard uninsured rate
CSMC IP,02722078,"HB STAPLER, ENDOSCOPIC 7",,,,,4225,239,1617,986,1326,988,239,949,460,1454,1470,1472,1407,1167,1617,1401,1219,331,No standard uninsured rate
CSMC IP,02722079,HB VAC THERAPY SYSTEM 2,,,,,1443,82,594,337,453,338,82,324,157,497,502,503,594,399,552,479,417,113,No standard uninsured rate
CSMC IP,02722080,"HB ROD, REAMING 1",,,,,1403,80,595,328,510,275,80,298,153,595,492,489,534,333,537,211,361,110,No standard uninsured rate
CSMC IP,02722082,"HB SEALANT, HEMOSTATIC 2",,,,,4967,281,1909,1159,1559,878,281,1735,540,1709,1728,1731,1909,1249,1901,1647,1433,389,No standard uninsured rate
CSMC IP,02722083,"HB TUBE, HOLLOW REAMER*",,,,,2446,138,936,571,768,572,138,549,266,842,851,853,815,676,936,811,706,192,No standard uninsured rate
CSMC IP,02722084,HB SEAL SYSTEM PROXIMAL AORTIC,,,,,4046,229,1548,945,1270,946,229,968,440,1392,1407,1410,1347,1117,1548,1342,1387,317,No standard uninsured rate
CSMC IP,02722085,HB TUBING HTA PROCEDURE SET 1,,,,,8177,462,3128,1908,2566,1912,462,1835,889,2813,2844,2849,2722,2258,3128,2711,2358,640,No standard uninsured rate
CSMC IP,02722088,"HB KIT, MENISCAL REPAIR",,,,,1158,66,443,271,364,271,66,260,126,399,403,404,386,320,443,384,334,91,No standard uninsured rate
CSMC IP,02722090,HB TRACKER FUSION ENT,,,,,1564,89,599,365,273,351,89,172,170,539,544,545,521,432,599,519,451,123,No standard uninsured rate
CSMC IP,02722091,"HB CATHETER, GUIDING PERF/INFUS",,,,C1887,8005,452,3063,1868,2512,2671,452,1797,870,2754,2784,2789,2665,2210,3063,2654,2309,627,No standard uninsured rate
CSMC IP,02722092,"HB REAMER, ORTHO 1",,,,,4109,232,1572,959,1290,961,232,923,447,1414,1429,1432,1368,1135,1572,884,1185,322,No standard uninsured rate
CSMC IP,02722094,"HB CUP, VACCUUM EXTRACTION",,,,,577,33,224,135,182,152,33,140,63,199,193,202,224,160,221,192,197,46,No standard uninsured rate
CSMC IP,02722095,HB SURGICEL,,,,,923,53,354,216,290,276,53,255,101,318,321,322,308,255,354,306,324,73,No standard uninsured rate
CSMC IP,02722097,"HB CATHETER, ENDO BIL DRAIN",,,,,1262,72,963,295,594,128,72,448,138,435,439,440,421,349,483,419,963,99,No standard uninsured rate
CSMC IP,02722101,HB SURGICAL ELECTR KNIFE DISP,,,,,4760,269,1821,1111,1494,1113,269,1069,518,1638,1656,1659,1585,1314,1821,1578,1373,373,No standard uninsured rate
CSMC IP,02722102,"HB TUBE, MIC-KEY JEJUNAL STOMA",,,,,2969,168,1136,693,932,755,168,712,323,1022,1033,1035,989,820,1136,985,857,233,No standard uninsured rate
CSMC IP,02722104,"HB TOOL, ULTRA DISK DRIVE*",,,,,3836,217,1468,896,1204,897,217,726,417,1320,1334,1337,1277,1059,1468,1272,1107,301,No standard uninsured rate
CSMC IP,02722105,HB INSERTION KIT ART/VEN,,,,,733,42,281,172,247,144,42,155,80,253,255,256,262,231,281,252,208,58,No standard uninsured rate
CSMC IP,02722106,"HB FORCEPS, ENDOSCOPIC 1*",,,,,383,22,180,90,180,95,22,92,42,132,134,134,128,88,147,127,129,30,No standard uninsured rate
CSMC IP,02722107,"HB GENERATOR, RADIO FREQUENCY*",,,,,4225,239,1617,986,1326,988,239,949,460,1454,1470,1472,1407,1167,1617,1401,1219,331,No standard uninsured rate
CSMC IP,02722109,HB EXTRACTION BALLOON 1,,,,,1778,101,681,415,346,567,101,341,194,612,619,620,592,419,681,651,540,140,No standard uninsured rate
CSMC IP,02722110,"HB KIT, LIPIVAGE W/CANNULA",,,,,1650,94,632,385,518,386,94,371,180,568,574,575,550,456,632,547,476,130,No standard uninsured rate
CSMC IP,02722111,HB KNOT PUSHER 1,,,,,1581,90,605,369,497,370,90,355,172,544,550,551,527,437,605,525,456,124,No standard uninsured rate
CSMC IP,02722117,"HB CATHETER, FAST CLOSURE 1",,,,,6164,348,2358,1439,1934,1441,348,1384,670,2121,2144,2148,2052,1702,2358,2044,1778,483,No standard uninsured rate
CSMC IP,02722119,HB HELIFX APPLIER,,,,,32864,1854,12572,7668,10311,7682,1854,7375,3571,11306,11428,11448,10938,9072,12572,10893,9477,2572,No standard uninsured rate
CSMC IP,02722120,"HB CATHETER, HELIFX GUIDE",,,,C1887,13640,770,5218,3183,4280,3189,770,3061,1482,4693,4744,4752,4540,3766,5218,4522,3933,1068,No standard uninsured rate
CSMC IP,02722127,"HB FORCEPS, ENDOSCOPIC 2*",,,,,1479,101,690,346,690,514,101,418,161,509,515,516,482,418,566,491,549,116,No standard uninsured rate
CSMC IP,02722128,"HB PT/PRGMR, NEUROSTIMULATOR 3*",,,,C1787,6565,371,2512,1532,2060,1535,371,1474,714,2259,2283,2287,2185,1813,2512,2177,1893,514,No standard uninsured rate
CSMC IP,02722129,"HB PACK, ACL DISPOSABLE",,,,,1492,85,571,349,469,349,85,335,163,514,519,520,497,412,571,495,431,117,No standard uninsured rate
CSMC IP,02722131,HB BONE COLLECTOR,,,,,1146,65,439,268,360,251,65,258,125,395,399,400,382,317,439,380,331,90,No standard uninsured rate
CSMC IP,02722132,HB PREP CATHETER,,,,,1600,91,613,374,502,374,91,360,174,551,557,558,533,442,613,531,462,126,No standard uninsured rate
CSMC IP,02722134,HB SPECIMEN COLLECTION SYSTEM1,,,,,614,35,235,144,193,144,35,138,67,212,214,214,205,170,235,204,178,49,No standard uninsured rate
CSMC IP,02722135,HB ESU SUPRALOOP 1,,,,,1264,72,484,295,397,296,72,284,138,435,440,441,421,349,484,419,365,99,No standard uninsured rate
CSMC IP,02722136,"HB DISSECTOR, ARTICULATING 1",,,,,8543,482,3268,1994,2681,1997,482,1918,929,2939,2971,2976,2844,2359,3268,2832,2464,669,No standard uninsured rate
CSMC IP,02722137,HB PUSHER COIL NEURO,,,,,1837,104,703,429,577,398,104,413,200,632,639,640,612,508,703,609,530,144,No standard uninsured rate
CSMC IP,02722138,HB EUS BALLOON,,,,,672,38,258,157,211,158,38,151,74,232,234,235,224,186,258,223,194,53,No standard uninsured rate
CSMC IP,02722139,HB PROBE COLOFLEX UHD,,,,,3786,214,1449,884,1188,885,214,850,412,1303,1317,1319,1261,1046,1449,1255,1092,297,No standard uninsured rate
CSMC IP,02722140,HB STEERABLE GUIDE CATHETER,,,,,21777,1229,8331,4911,6833,5894,1229,6883,2367,7492,7573,7586,7248,6012,8331,7219,5624,1705,No standard uninsured rate
CSMC IP,02722141,"HB CATHETER,OCELOT ATHERECTOMY",,,,,26063,1470,9970,6082,8177,6092,1470,5849,2832,8966,9064,9079,8675,7195,9970,8639,7516,2040,No standard uninsured rate
CSMC IP,02722142,"HB PROBE, PEN 1",,,,,11892,671,4550,2775,3731,1796,671,4227,1293,4091,4136,4143,3958,3283,4550,3942,3429,931,No standard uninsured rate
CSMC IP,02722143,"HB PROBE, PEN 2",,,,,12665,715,4845,2955,3974,2961,715,2842,1377,4357,4405,4412,4216,3496,4845,4198,3652,992,No standard uninsured rate
CSMC IP,02722144,"HB PROBE, PEN 3",,,,,15757,889,6028,3677,4944,2379,889,5601,1712,5421,5480,5489,5245,4350,6028,5223,4544,1234,No standard uninsured rate
CSMC IP,02722145,"HB CATHETER, GUIDING PERF/INFUS",,,,C1887,9314,526,3563,2174,2923,1886,526,2091,1012,3205,3239,3245,3100,2571,3563,3088,2319,729,No standard uninsured rate
CSMC IP,02722148,HB LUMBAR CATHETER 1,,,,,1591,90,681,372,504,681,90,409,173,548,554,555,530,392,609,528,459,125,No standard uninsured rate
CSMC IP,02722149,"HB TOOL, DISSECTING 3",,,,,2661,151,1018,621,464,511,151,467,290,916,932,927,886,735,1018,883,691,209,No standard uninsured rate
CSMC IP,02722150,HB TUBING HTA PROCEDURE SET 2,,,,,9058,511,3465,2114,2842,2118,511,2033,985,3116,3150,3156,3015,2501,3465,3003,2612,709,No standard uninsured rate
CSMC IP,02722151,HB PERICARDIAL SUMP 1,,,,,422,24,162,99,133,99,24,95,46,146,147,147,141,117,162,140,122,34,No standard uninsured rate
CSMC IP,02722153,HB DISPOSABLE INSTRUMENTS 1,,,,,5968,337,2283,1393,1873,1395,337,1340,649,2053,2076,2079,1987,1648,2283,1979,1721,468,No standard uninsured rate
